진료년도,시도,행위코드,환자수,명세서건수,의료행위총사용량,의료행위청구금액
2024,경기,NN072,234,1392,3101,522116386
2024,경기,NN082,9,11,40,1182929
2024,경기,NN083,13,13,13,691860
2024,경기,NN090,930,1652,4260,59560352
2024,경기,NN100,7554,10792,21819,1324824167
2024,경기,NN111,9094,9980,10017,202402235
2024,경기,NN112,8849,11527,13195,161208301
2024,경기,NN113,8437,11073,12698,154319795
2024,경기,NN114,2,2,2,81564
2024,경기,NX021,33,41,53,17823552
2024,경기,NY051,1,1,1,911746
2024,경기,NY052,6,6,7,5846166
2024,경기,NY054,1,1,1,1393458
2024,경기,NY055,2,2,2,1887683
2024,경기,NY056,1,1,2,548383
2024,경기,NY057,2,2,4,3006994
2024,경기,O0161,2,3,4,6305262
2024,경기,O0162,43,47,55,58312453
2024,경기,O0163,7,7,9,15919521
2024,경기,O0164,29,32,37,48880510
2024,경기,O0165,15,15,16,29525895
2024,경기,O0166,15,15,18,29944677
2024,경기,O0167,8,9,9,21882047
2024,경기,O0169,7,7,10,16852436
2024,경기,O0170,2,2,2,3559275
2024,경기,O0171,6,7,10,11545508
2024,경기,O0172,29,32,42,63303576
2024,경기,O0173,3,3,3,14535806
2024,경기,O0174,1,1,1,5179807
2024,경기,O0175,18,19,26,48314546
2024,경기,O0176,3,4,5,6338343
2024,경기,O0203,125,137,183,153096058
2024,경기,O0204,1128,1211,1598,1611307600
2024,경기,O0205,23,25,33,21312291
2024,경기,O0206,233,247,320,266259527
2024,경기,O0207,2,4,6,2174502
2024,경기,O0208,6,8,10,4322715
2024,경기,O0209,6,6,9,9115113
2024,경기,O0210,9,11,15,15329468
2024,경기,O0211,242,243,243,361555149
2024,경기,O0212,39,39,41,46944761
2024,경기,O0213,706,1446,1510,98198799
2024,경기,O0214,747,1494,1546,123573629
2024,경기,O0215,1106,1252,1296,159310030
2024,경기,O0216,436,472,625,95877974
2024,경기,O0217,960,1266,1732,321907346
2024,경기,O0218,9,10,11,5874342
2024,경기,O0219,3,3,3,2603902
2024,경기,O0220,1,1,1,1630475
2024,경기,O0221,2,2,3,4692683
2024,경기,O0222,5,5,5,2818928
2024,경기,O0223,7,7,7,18952078
2024,경기,O0224,47,47,47,123809827
2024,경기,O0226,8,8,8,9062577
2024,경기,O0227,7,7,7,9134818
2024,경기,O0228,1,1,1,1087251
2024,경기,O0229,4,4,4,8895690
2024,경기,O0230,93,100,128,113353344
2024,경기,O0231,20,20,20,390932886
2024,경기,O0232,6,6,6,77306317
2024,경기,O0233,25,28,36,450144761
2024,경기,O0234,93,103,118,2116691586
2024,경기,O0235,60,63,71,1254361796
2024,경기,O0236,3,3,4,3973402
2024,경기,O0237,8,10,13,20064723
2024,경기,O0238,8181,13684,14312,943205532
2024,경기,O0241,5,5,10,6150749
2024,경기,O0243,2,2,2,2945426
2024,경기,O0260,13,13,18,44463077
2024,경기,O0261,71,75,128,40982387
2024,경기,O0262,118,120,152,53837750
2024,경기,O0263,62,64,87,38470668
2024,경기,O0264,521,531,751,325567401
2024,경기,O0265,205,207,322,188211474
2024,경기,O0266,257,264,441,234622022
2024,경기,O0267,24,24,81,42136240
2024,경기,O0279,1,1,1,3909448
2024,경기,O0281,28,37,49,23403726
2024,경기,O0282,1,1,1,300740
2024,경기,O0881,9,9,9,57699600
2024,경기,O0884,20,54,1113,54254942
2024,경기,O0885,18,68,69,4042554
2024,경기,O0951,329,387,411,35146147
2024,경기,O0952,166,172,200,30827798
2024,경기,O0953,1011,1058,1033,83402357
2024,경기,O0954,2336,2422,2793,384206342
2024,경기,O0961,31,31,32,31217439
2024,경기,O0962,1,1,1,2213750
2024,경기,O0963,4,4,4,8678529
2024,경기,O0964,170,172,183,26472879
